event_id,template_id,origin_time,station,travel_time_p,travel_time_s,lag_time_p,lag_time_s,cc_p,cc_s
nc73818801_20200309_105118,nc73818801,2020-03-09T10:51:18.609999Z,B045,7.5,,0.21,,0.8440306186676025,
nc73818801_20200309_105118,nc73818801,2020-03-09T10:51:18.609999Z,B046,5.37,,0.5,,0.6449416279792786,
nc73818801_20200309_105118,nc73818801,2020-03-09T10:51:18.609999Z,B932,,11.238,,0.35,,0.902306854724884
nc73818801_20200309_105118,nc73818801,2020-03-09T10:51:18.609999Z,KMPB,6.34,11.718,0.28,0.01,0.6801924109458923,0.6870758533477783
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,B045,7.5,13.678,-0.01,0.0,0.9038839340209961,0.7873221039772034
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,B046,5.37,9.928,-0.14,-0.14,0.6804755926132202,0.8466296792030334
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,B932,,11.238,,-0.01,,0.93301922082901
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,KCO,,11.358,,0.02,,0.7554232478141785
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,KMPB,6.34,11.718,0.0,-0.01,0.9208780527114868,0.8809599280357361
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,KPR,,14.838,,0.03,,0.880450427532196
nc73818801_20200318_231602,nc73818801,2020-03-18T23:16:02.070000Z,PETL,,9.918,,0.01,,0.8254454135894775
nc73818801_20200318_221538,nc73818801,2020-03-18T22:15:38.680000Z,B045,7.5,13.678,0.02,-0.01,0.743768572807312,0.6520490646362305
nc73818801_20200318_221538,nc73818801,2020-03-18T22:15:38.680000Z,B046,,9.928,,0.0,,0.7958789467811584
nc73818801_20200318_221538,nc73818801,2020-03-18T22:15:38.680000Z,B932,,11.238,,0.13,,0.744239330291748
nc73818801_20200318_221538,nc73818801,2020-03-18T22:15:38.680000Z,KMPB,6.34,,0.02,,0.8150214552879333,
nc73818801_20200318_221538,nc73818801,2020-03-18T22:15:38.680000Z,PETL,,9.918,,0.13,,0.644813060760498
