origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-20 18:09:54.290,33242994.29,40.54433,-124.13817,-0.48,0.91,nc71129514,0.016266,,,,
2023-01-12 02:53:35.521,35175215.521,40.561,-125.602,10.0,2.6,us7000j3su,0.113838,,,,
2023-03-25 09:04:22.320,41418262.32,40.336,-125.28217,10.0,3.13,nc73861995,0.209549,,,,
2023-05-20 13:36:17.960,46272977.96,40.38517,-125.447,10.0,2.59,nc73890336,0.112534,,,,
2023-05-21 18:44:01.400,46377841.4,40.3775,-125.56283,10.0,5.58,nc73890906,3.517917,,,,
2022-12-01 02:20:09.500,31544409.5,40.2855,-124.307333,18.65,1.34,1008029,0.026686,10.61560632,8.18936507,2.19030509,0.22788119
2022-12-01 04:23:05.940,31551785.94,40.486,-124.155,20.11,1.0,1008030,0.018042,13.84503081,5.86681263,3.34719953,0.05381322
2022-12-01 11:08:31.330,31576111.33,39.841,-123.590833,3.73,0.98,1008031,0.017631,13.22227735,7.80044533,8.84389793,0.12468243
2022-12-01 11:10:33.040,31576233.04,40.264833,-124.694167,0.59,1.51,1008032,0.032455,9.68453691,11.60140285,11.76832683,0.21105742
2022-12-01 11:34:10.280,31577650.28,40.366667,-124.006333,22.21,1.03,1008033,0.018676,14.69208319,4.46742267,4.35718094,0.28472328
2022-12-01 12:46:01.020,31581961.02,40.118833,-123.766,26.37,1.38,1008034,0.027944,16.64005561,9.69565591,3.08323336,0.75117171
2022-12-01 13:15:28.150,31583728.15,40.288167,-124.480167,10.96,1.19,1008035,0.022454,5.09168451,6.07302845,3.43438752,0.51160049
2022-12-01 13:28:28.580,31584508.58,40.477833,-124.206333,21.87,0.99,1008036,0.017836,13.40164562,3.10406854,4.49384621,0.24540329
2022-12-01 15:07:47.880,31590467.88,40.613833,-123.7595,22.29,1.18,1008037,0.022197,19.34186459,9.19009953,3.4633008,0.08798671
2022-12-01 21:59:35.820,31615175.82,40.338833,-124.504667,19.28,1.01,1008039,0.018251,7.19305041,5.66568348,5.37503572,0.37200606
2022-12-01 22:08:19.670,31615699.67,39.807833,-123.572,3.07,0.88,1008040,0.015714,12.61600776,9.40996667,9.27462819,1.64547014
2022-12-01 22:14:47.140,31616087.14,39.805833,-123.583167,3.12,1.16,1008041,0.021691,11.44817347,9.77584048,7.80577751,2.3638308
2022-12-02 05:30:49.360,31642249.36,40.449,-124.496167,28.79,1.41,1008042,0.028926,6.53543606,4.08359522,1.18193238,0.2322073
2022-12-02 09:19:13.190,31655953.19,39.820667,-123.559833,4.83,-0.04,1008043,0.005449,17.51223292,12.41800043,7.76622101,0.2174629
2022-12-02 13:22:15.750,31670535.75,40.3345,-124.416167,31.47,2.33,nc73813836,0.083423,7.58368815,3.62660857,1.44426421,0.46510911
2022-12-02 13:23:47.570,31670627.57,40.311333,-124.361667,31.98,2.13,nc73813841,0.066265,9.78731869,5.74417405,1.53068328,0.39224625
