original_id,synthetic_id
nc73818801_20200309_105118,100000
nc73818801_20200318_231602,100001
nc73818801_20200318_221538,100002
nc73818801_20200319_043731,100003
nc73818801_20200409_072816,100004
nc73818801_20200510_154438,100005
nc73818801_20201104_192149,100006
nc73818801_20201120_040134,100007
nc73818801_20201230_230358,100008
nc73818801_20201231_131257,100009
nc73818801_20210630_185719,100010
nc73818801_20210706_101701,100011
nc73818801_20210805_051134,100012
nc73818801_20210805_181638,100013
nc73818801_20210817_000625,100014
nc73818801_20211023_030005,100015
nc73818801_20211103_104027,100016
nc73818801_20211118_061711,100017
nc73818801_20211220_225759,100018
nc73818801_20211221_164640,100019
nc73818801_20211222_014907,100020
nc73818801_20211222_020605,100021
nc73818801,100022
