original_id,synthetic_id
1018844_20200101_041817,100000
1018844_20200103_120610,100001
1018844_20200110_053839,100002
1018844_20200702_103718,100003
1018844_20200708_180709,100004
1018844_20200720_112140,100005
1018844_20200826_170507,100006
1018844_20201012_075752,100007
1018844_20210226_171055,100008
1018844_20210804_130450,100009
1018844_20210831_042107,100010
1018844_20211004_011922,100011
1018844_20211014_093956,100012
1018844_20220118_101730,100013
1018844_20220207_031701,100014
1018844_20220207_023724,100015
1018844_20220706_133504,100016
1018844_20220721_002210,100017
1018844_20220805_181627,100018
1018844_20220809_154547,100019
1018844_20220820_061936,100020
1018844_20220821_071643,100021
1018844_20220824_003913,100022
1018844_20220826_134628,100023
1018844_20220903_095951,100024
1018844_20220905_231634,100025
1018844_20220907_234421,100026
1018844_20220908_144232,100027
1018844_20220918_022538,100028
1018844_20220924_001543,100029
1018844_20221001_030907,100030
1018844_20221016_120420,100031
1018844_20221018_031308,100032
1018844_20221018_063323,100033
1018844_20221025_111630,100034
1018844_20221028_085730,100035
1018844_20221130_150703,100036
1008272_20200102_174536,100037
1008272_20200215_133042,100038
1008272_20200305_011910,100039
1008272_20201030_141317,100040
1008272_20201030_135808,100041
1008272_20201203_211811,100042
1008272_20210102_153023,100043
1008272_20210707_230755,100044
1008272_20210826_183224,100045
1008272_20210826_192402,100046
1008272_20210826_185446,100047
1008272_20210826_172325,100048
1008272_20210826_192807,100049
1008272_20210826_172252,100050
1008272_20210827_055848,100051
1008272_20210827_094944,100052
1008272_20210827_142007,100053
1008272_20210829_063740,100054
1008272_20210901_051757,100055
1008272_20210902_060214,100056
1008272_20210922_050326,100057
1008272_20211103_034917,100058
1008272_20211208_061851,100059
1008272_20211216_163058,100060
1008272_20211220_232713,100061
1008272_20211220_213003,100062
1008272_20211220_202827,100063
1008272_20211220_215207,100064
1008272_20211220_215101,100065
1008272_20211221_213051,100066
1008272_20211221_125553,100067
1008272_20211221_124557,100068
1008272_20211221_123728,100069
1008272_20211221_131710,100070
1008272_20211221_124643,100071
1008272_20211221_124757,100072
1008272_20211221_025605,100073
1008272_20211221_125257,100074
1008272_20211221_130010,100075
1008272_20211221_172925,100076
1008272_20211221_152257,100077
1008272_20211221_131537,100078
