event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1018694_20200108_202714,100100,40.447042,-124.654435,25.298,-14.5,37.5,78.2,2.8,4.8,9.1,2020,1,8,20,27,14.48,0.0,0,240,0,0,0.009,-9.0,1,2020-01-08T20:27:14.480Z
1018694_20200115_174230,100101,40.445976,-124.654842,24.952,-49.0,-80.9,-268.2,3.9,5.4,15.6,2020,1,15,17,42,30.72,0.0,0,225,0,0,0.011,-9.0,1,2020-01-15T17:42:30.720Z
1018694_20200117_004509,100102,40.447237,-124.654264,25.127,0.0,59.2,-93.2,2.8,2.9,14.9,2020,1,17,0,45,9.69,0.0,46,213,0,0,0.008,-9.0,1,2020-01-17T00:45:09.690Z
1018694_20200121_042043,100103,40.445406,-124.654281,25.763,-1.4,-144.1,543.0,3.7,3.2,13.4,2020,1,21,4,20,43.49,0.0,52,281,0,0,0.01,-9.0,1,2020-01-21T04:20:43.490Z
1018694_20200309_231810,100104,40.445911,-124.654557,25.874,-24.9,-88.1,653.8,4.2,5.2,17.4,2020,3,9,23,18,10.36,0.0,0,182,0,0,0.009,-9.0,1,2020-03-09T23:18:10.360Z
1018694_20200316_165350,100105,40.445829,-124.653768,26.138,42.1,-97.1,917.6,3.0,4.8,10.1,2020,3,16,16,53,50.99,0.0,43,196,0,0,0.007,-9.0,1,2020-03-16T16:53:50.990Z
1018694_20200330_180938,100106,40.445752,-124.654622,23.918,-30.4,-105.7,-1301.7,5.2,8.1,6.5,2020,3,30,18,9,38.78,0.0,36,112,0,0,0.008,-9.0,1,2020-03-30T18:09:38.780Z
1018694_20200417_101506,100108,40.446944,-124.654728,25.051,-39.4,26.7,-169.0,3.3,3.3,13.6,2020,4,17,10,15,6.21,0.0,0,189,0,0,0.01,-9.0,1,2020-04-17T10:15:06.210Z
1018694_20200419_202443,100109,40.446407,-124.654769,25.469,-42.8,-33.0,248.9,3.0,5.5,10.7,2020,4,19,20,24,43.36,0.0,58,261,0,0,0.009,-9.0,1,2020-04-19T20:24:43.360Z
1018694_20200423_165836,100110,40.446277,-124.654256,25.81,0.7,-47.4,590.0,3.9,5.2,15.9,2020,4,23,16,58,36.62,0.0,0,196,0,0,0.009,-9.0,1,2020-04-23T16:58:36.620Z
1018694_20200423_155057,100111,40.446061,-124.654102,26.252,13.8,-71.4,1031.7,4.5,6.1,17.5,2020,4,23,15,50,57.62,0.0,0,149,0,0,0.012,-9.0,1,2020-04-23T15:50:57.620Z
1018694_20200502_200619,100112,40.446891,-124.654281,25.601,-1.4,20.8,380.6,2.9,4.4,10.2,2020,5,2,20,6,19.52,0.0,0,225,0,0,0.011,-9.0,1,2020-05-02T20:06:19.520Z
1018694_20200508_044827,100113,40.445768,-124.654362,24.851,-8.3,-103.9,-368.8,3.7,4.7,13.0,2020,5,8,4,48,27.9,0.0,22,203,0,0,0.008,-9.0,1,2020-05-08T04:48:27.900Z
1018694_20200522_152644,100114,40.44613,-124.654761,25.298,-42.1,-63.7,78.5,2.7,4.2,9.7,2020,5,22,15,26,44.71,0.0,0,194,0,0,0.007,-9.0,1,2020-05-22T15:26:44.710Z
1018694_20200527_232147,100115,40.446224,-124.654858,25.116,-50.4,-53.3,-104.0,3.6,8.1,12.8,2020,5,27,23,21,47.64,0.0,0,168,0,0,0.007,-9.0,1,2020-05-27T23:21:47.640Z
1018694_20200530_130950,100116,40.44622,-124.654386,25.3,-10.4,-53.8,80.4,3.0,3.4,11.7,2020,5,30,13,9,50.1,0.0,21,240,0,0,0.01,-9.0,1,2020-05-30T13:09:50.100Z
1018694_20200606_173356,100117,40.44609,-124.654451,24.967,-15.9,-68.2,-253.1,2.2,2.7,8.8,2020,6,6,17,33,56.26,0.0,63,272,0,0,0.01,-9.0,1,2020-06-06T17:33:56.260Z
1018694_20200608_063215,100118,40.445646,-124.654655,25.663,-33.1,-117.5,443.3,4.5,3.7,13.4,2020,6,8,6,32,15.66,0.0,51,256,0,0,0.009,-9.0,1,2020-06-08T06:32:15.660Z
1018694_20200608_024621,100119,40.446545,-124.654517,25.64,-21.4,-17.6,420.5,2.6,2.9,11.6,2020,6,8,2,46,21.53,0.0,0,181,0,0,0.006,-9.0,1,2020-06-08T02:46:21.530Z
1018694_20200617_070640,100120,40.446834,-124.654338,24.884,-6.2,14.5,-336.1,2.7,3.1,13.5,2020,6,17,7,6,40.32,0.0,0,201,0,0,0.007,-9.0,1,2020-06-17T07:06:40.320Z
1018694_20200617_145544,100121,40.447941,-124.649935,23.242,367.3,137.4,-1978.4,8.0,9.8,10.0,2020,6,17,14,55,44.04,0.0,19,192,0,0,0.01,-9.0,1,2020-06-17T14:55:44.040Z
1018694_20200626_152813,100122,40.445325,-124.655062,25.761,-67.7,-153.2,541.1,2.8,3.6,8.5,2020,6,26,15,28,13.26,0.0,66,297,0,0,0.013,-9.0,1,2020-06-26T15:28:13.260Z
1018694_20200628_060100,100123,40.449447,-124.650374,22.143,330.0,304.5,-3077.1,16.7,20.3,18.7,2020,6,28,6,1,0.8,0.0,0,36,0,0,0.008,-9.0,1,2020-06-28T06:01:00.800Z
