event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1010913_20200104_122908,101475,40.580623,-123.986092,20.58,20843.3,3374.8,-847.7,0.7,0.4,0.7,2020,1,4,12,29,8.71,0.0,1,3,13,38,0.002,0.039,1,2020-01-04T12:29:08.710Z
1010913_20200213_222136,101476,40.57769,-123.96276,21.286,22819.7,3049.0,-140.8,2.4,1.5,2.0,2020,2,13,22,21,36.86,0.0,0,0,28,8,-9.0,0.045,1,2020-02-13T22:21:36.860Z
1010913_20200319_010426,101477,40.581934,-123.991976,20.907,20344.9,3520.3,-519.9,0.9,0.5,0.6,2020,3,19,1,4,26.01,0.0,0,3,0,21,0.002,0.131,1,2020-03-19T01:04:26.010Z
1010913_20210329_155633,101481,40.580754,-123.98514,20.638,20923.9,3389.3,-789.3,0.7,0.5,0.5,2021,3,29,15,56,33.85,0.0,2,4,25,51,0.001,0.037,1,2021-03-29T15:56:33.850Z
1010913_20210329_134454,101482,40.581034,-123.985701,20.674,20876.3,3420.5,-752.8,0.6,0.3,0.5,2021,3,29,13,44,55.0,0.0,1,4,14,48,0.002,0.034,1,2021-03-29T13:44:55.000Z
1010913_20210330_143026,101483,40.58103,-123.985579,20.682,20886.7,3420.0,-745.3,0.6,0.2,0.5,2021,3,30,14,30,26.64,0.0,1,4,15,51,0.002,0.036,1,2021-03-30T14:30:26.640Z
1010913_20210330_165658,101484,40.580758,-123.984814,20.654,20951.5,3389.7,-773.3,0.6,0.3,0.5,2021,3,30,16,56,58.88,0.0,1,4,16,51,0.002,0.036,1,2021-03-30T16:56:58.880Z
1010913_20210919_185135,101487,40.582564,-123.983822,20.524,21035.3,3590.4,-903.3,0.5,0.6,0.5,2021,9,19,18,51,35.68,0.0,1,4,16,54,0.002,0.048,1,2021-09-19T18:51:35.680Z
1010913_20211207_042027,101488,40.572229,-123.955729,21.443,23416.1,2442.7,15.7,3.4,2.7,2.4,2021,12,7,4,20,27.2,0.0,0,0,10,0,-9.0,0.048,1,2021-12-07T04:20:27.200Z
1014469_20200104_113720,101564,40.532507,-124.274927,11.668,-3618.1,-1968.2,-9758.9,0.5,0.3,0.4,2020,1,4,11,37,20.93,0.0,4,2,4,2,0.004,0.089,1,2020-01-04T11:37:20.930Z
1012073_20200121_182929,102513,40.559058,-124.123413,23.053,9215.7,980.1,1626.0,0.8,0.7,1.0,2020,1,21,18,29,29.2,0.0,2,2,23,28,0.002,0.067,1,2020-01-21T18:29:29.200Z
1012073_20200121_181750,102514,40.563464,-124.139535,22.957,7850.0,1469.4,1530.1,1.0,0.7,1.0,2020,1,21,18,17,50.96,0.0,1,3,6,12,0.004,0.069,1,2020-01-21T18:17:50.960Z
1012073_20200121_181712,102517,40.564339,-124.125122,22.884,9070.6,1566.5,1456.5,0.8,0.7,0.9,2020,1,21,18,17,12.56,0.0,1,3,7,19,0.007,0.048,1,2020-01-21T18:17:12.560Z
1012073_20211219_161538,102584,40.559224,-124.113875,22.052,10023.5,998.6,624.3,4.8,3.0,3.0,2021,12,19,16,15,38.62,0.0,0,0,4,5,-9.0,0.041,1,2021-12-19T16:15:38.620Z
nc73821361_20210810_193057,102602,40.477861,-124.511092,24.73,-23634.5,-8036.5,3302.8,0.6,0.9,1.8,2021,8,10,19,30,57.02,0.0,1,2,4,10,0.001,0.068,1,2021-08-10T19:30:57.020Z
nc73821361_20210828_071022,102603,40.47922,-124.505566,25.374,-23166.0,-7885.6,3946.6,0.7,0.9,1.3,2021,8,28,7,10,22.17,0.0,1,2,2,6,0.001,0.057,1,2021-08-28T07:10:22.170Z
nc73821361_20211109_132316,102606,40.490291,-124.498568,24.769,-22571.0,-6656.1,3341.8,1.0,0.8,1.4,2021,11,9,13,23,16.87,0.0,2,3,16,29,0.006,0.064,1,2021-11-09T13:23:16.870Z
nc73821361_20220907_175442,102608,40.477779,-124.507869,25.417,-23361.4,-8045.5,3989.4,0.8,0.7,1.4,2022,9,7,17,54,42.56,0.0,2,1,2,2,0.001,0.059,1,2022-09-07T17:54:42.560Z
nc73865815_20200105_110439,102707,40.432532,-124.602743,23.401,-31412.4,-13070.1,1974.0,0.3,0.4,1.0,2020,1,5,11,4,39.24,0.0,0,2,0,14,0.0,0.067,1,2020-01-05T11:04:39.240Z
nc73865815_20200312_152018,102709,40.447192,-124.595964,23.417,-30834.4,-11442.1,1989.5,0.6,0.7,0.7,2020,3,12,15,20,18.53,0.0,0,4,0,25,0.003,0.055,1,2020-03-12T15:20:18.530Z
nc73865815_20200519_155835,102716,40.435022,-124.601335,23.433,-31292.5,-12793.5,2006.0,0.5,0.6,0.4,2020,5,19,15,58,35.46,0.0,0,4,0,4,0.001,0.005,1,2020-05-19T15:58:35.460Z
nc73865815_20200519_085604,102717,40.435164,-124.602856,23.795,-31421.5,-12777.7,2367.9,0.5,0.5,0.5,2020,5,19,8,56,4.26,0.0,0,3,0,8,0.005,0.098,1,2020-05-19T08:56:04.260Z
nc73865815_20200609_102901,102719,40.434497,-124.603988,21.699,-31517.5,-12851.8,271.7,0.3,0.4,0.9,2020,6,9,10,29,1.06,0.0,0,1,8,36,0.0,0.096,1,2020-06-09T10:29:01.060Z
nc73865815_20200609_115457,102720,40.437541,-124.603589,21.402,-31483.0,-12513.8,-25.2,0.4,0.5,1.4,2020,6,9,11,54,57.68,0.0,0,1,10,29,0.0,0.093,1,2020-06-09T11:54:57.680Z
nc73865815_20200611_114829,102721,40.433757,-124.59786,23.563,-30998.2,-12934.1,2135.5,0.4,0.5,0.7,2020,6,11,11,48,29.69,0.0,1,3,5,15,0.0,0.074,1,2020-06-11T11:48:29.690Z
nc73865815_20200628_090435,102723,40.432804,-124.600895,23.347,-31255.8,-13039.8,1920.1,0.7,0.7,0.8,2020,6,28,9,4,35.89,0.0,2,9,14,84,0.006,0.067,1,2020-06-28T09:04:35.890Z
nc73865815_20200921_215310,102727,40.436308,-124.604395,21.55,-31551.6,-12650.8,123.1,0.4,0.3,0.9,2020,9,21,21,53,10.54,0.0,0,1,0,36,0.0,0.111,1,2020-09-21T21:53:10.540Z
nc73865815_20200928_093439,102728,40.429928,-124.602848,23.397,-31422.0,-13359.2,1969.3,0.3,0.4,0.4,2020,9,28,9,34,39.86,0.0,0,3,0,35,0.001,0.071,1,2020-09-28T09:34:39.860Z
nc73865815_20200929_164212,102729,40.431848,-124.599398,23.396,-31129.0,-13146.0,1969.2,0.7,0.9,0.9,2020,9,29,16,42,12.45,0.0,2,8,28,84,0.006,0.081,1,2020-09-29T16:42:12.450Z
nc73865815_20200929_160655,102730,40.430294,-124.601546,23.855,-31311.5,-13318.6,2428.1,0.5,0.7,0.8,2020,9,29,16,6,56.09,0.0,5,5,33,78,0.007,0.087,1,2020-09-29T16:06:56.090Z
nc73865815_20201013_220511,102732,40.433988,-124.602441,23.371,-31386.6,-12908.3,1944.0,0.4,0.5,0.5,2020,10,13,22,5,11.44,0.0,0,6,0,56,0.004,0.057,1,2020-10-13T22:05:11.440Z
nc73865815_20201219_032342,102734,40.434859,-124.603377,21.647,-31465.7,-12811.6,219.3,0.4,0.6,1.2,2020,12,19,3,23,42.51,0.0,0,1,14,39,0.0,0.124,1,2020-12-19T03:23:42.510Z
nc73865815_20210121_204620,102736,40.428939,-124.59978,23.751,-31162.1,-13469.0,2324.2,0.5,0.5,0.9,2021,1,21,20,46,20.96,0.0,1,2,8,24,0.003,0.078,1,2021-01-21T20:46:20.960Z
nc73865815_20210212_200851,102738,40.434408,-124.602254,23.658,-31370.6,-12861.8,2230.4,0.5,0.4,0.6,2021,2,12,20,8,51.24,0.0,1,3,11,32,0.002,0.072,1,2021-02-12T20:08:51.240Z
nc73865815_20210212_042914,102739,40.433887,-124.600057,23.359,-31184.4,-12919.6,1931.5,0.7,0.9,0.9,2021,2,12,4,29,14.42,0.0,2,6,14,49,0.006,0.069,1,2021-02-12T04:29:14.420Z
nc73865815_20210220_234036,102740,40.431405,-124.604468,23.533,-31559.0,-13195.2,2105.8,0.7,0.5,0.7,2021,2,20,23,40,36.68,0.0,2,3,20,33,0.008,0.078,1,2021-02-20T23:40:36.680Z
nc73865815_20210414_012741,102742,40.437024,-124.60498,21.384,-31601.1,-12571.2,-43.3,0.4,0.5,1.5,2021,4,14,1,27,41.1,0.0,0,1,19,48,0.0,0.091,1,2021-04-14T01:27:41.100Z
nc73865815_20210414_053837,102743,40.433752,-124.601823,22.673,-31334.2,-12934.5,1245.3,1.0,1.1,1.8,2021,4,14,5,38,37.65,0.0,1,3,24,90,0.006,0.089,1,2021-04-14T05:38:37.650Z
nc73865815_20210710_115945,102749,40.433297,-124.602262,23.363,-31371.5,-12985.1,1935.9,0.5,0.6,0.7,2021,7,10,11,59,45.84,0.0,0,4,0,28,0.0,0.051,1,2021-07-10T11:59:45.840Z
nc73865815_20210831_181315,102751,40.428739,-124.603743,23.519,-31498.2,-13491.2,2091.3,0.8,0.8,0.8,2021,8,31,18,13,15.56,0.0,2,3,17,19,0.005,0.078,1,2021-08-31T18:13:15.560Z
nc73865815_20210923_093350,102754,40.430717,-124.603215,23.352,-31452.9,-13271.6,1925.1,0.4,0.5,0.6,2021,9,23,9,33,50.55,0.0,0,4,0,22,0.002,0.034,1,2021-09-23T09:33:50.550Z
nc73865815_20210930_191002,102755,40.435034,-124.601945,23.373,-31344.2,-12792.2,1945.7,0.2,0.2,0.5,2021,9,30,19,10,2.2,0.0,0,4,0,28,0.0,0.029,1,2021-09-30T19:10:02.200Z
nc73865815_20211008_234058,102756,40.432804,-124.602913,22.865,-31426.9,-13039.8,1437.5,0.5,0.8,1.1,2021,10,8,23,40,58.42,0.0,1,1,19,97,0.001,0.066,1,2021-10-08T23:40:58.420Z
nc73865815_20211209_201236,102761,40.433012,-124.602938,22.784,-31428.9,-13016.7,1356.3,0.7,0.6,1.3,2021,12,9,20,12,36.42,0.0,1,2,27,104,0.002,0.074,1,2021-12-09T20:12:36.420Z
nc73865815_20211218_051748,102763,40.436112,-124.602425,23.366,-31384.7,-12672.4,1938.7,0.4,0.4,0.5,2021,12,18,5,17,48.57,0.0,3,7,22,78,0.005,0.079,1,2021-12-18T05:17:48.570Z
nc73865815_20211220_071218,102764,40.437679,-124.600863,23.343,-31251.9,-12498.5,1915.5,0.3,0.8,0.9,2021,12,20,7,12,18.83,0.0,0,4,0,50,0.001,0.07,1,2021-12-20T07:12:18.830Z
nc73865815_20220224_231818,102768,40.434285,-124.602547,23.446,-31395.5,-12875.3,2018.5,0.8,1.3,0.9,2022,2,24,23,18,18.2,0.0,0,4,0,28,0.005,0.051,1,2022-02-24T23:18:18.200Z
nc73865815_20220512_213949,102775,40.435006,-124.601961,23.373,-31345.6,-12795.3,1945.9,0.2,0.3,0.5,2022,5,12,21,39,49.6,0.0,0,4,0,28,0.0,0.029,1,2022-05-12T21:39:49.600Z
nc73865815_20220515_213042,102776,40.429419,-124.604517,21.572,-31563.6,-13415.7,144.3,0.4,0.5,1.1,2022,5,15,21,30,42.7,0.0,0,1,9,40,0.0,0.115,1,2022-05-15T21:30:42.700Z
nc73865815_20220602_095027,102777,40.436869,-124.603638,22.017,-31487.3,-12588.4,590.1,0.5,0.8,1.4,2022,6,2,9,50,27.05,0.0,1,1,13,36,0.0,0.069,1,2022-06-02T09:50:27.050Z
nc73865815_20220617_005930,102778,40.436637,-124.605672,22.417,-31659.8,-12614.2,989.8,0.3,0.6,0.8,2022,6,17,0,59,30.7,0.0,1,1,7,21,0.0,0.039,1,2022-06-17T00:59:30.700Z
nc73865815_20220721_024131,102780,40.435653,-124.602173,23.355,-31363.4,-12723.5,1928.2,0.5,0.5,0.6,2022,7,21,2,41,31.52,0.0,3,11,26,117,0.004,0.07,1,2022-07-21T02:41:31.520Z
nc73865815_20220728_092209,102781,40.440963,-124.605981,22.116,-31685.0,-12133.8,689.0,0.3,0.6,0.5,2022,7,28,9,22,9.26,0.0,1,0,27,45,0.0,0.083,1,2022-07-28T09:22:09.260Z
nc73865815_20220918_152846,102786,40.441459,-124.59965,20.711,-31148.2,-12078.7,-716.7,0.5,0.5,1.0,2022,9,18,15,28,46.41,0.0,0,0,1,1,-9.0,0.0,1,2022-09-18T15:28:46.410Z
nc73865815_20221002_193334,102787,40.426705,-124.596436,23.58,-30879.1,-13717.1,2152.7,0.9,0.8,0.7,2022,10,2,19,33,34.32,0.0,2,2,9,6,0.005,0.104,1,2022-10-02T19:33:34.320Z
nc73865815_20221017_044523,102789,40.439441,-124.60166,23.391,-31319.1,-12302.8,1963.7,0.3,0.7,0.6,2022,10,17,4,45,23.57,0.0,0,3,0,37,0.0,0.073,1,2022-10-17T04:45:23.570Z
nc73865815_20221019_222412,102790,40.427482,-124.599113,23.53,-31105.9,-13630.8,2103.1,0.5,0.4,0.4,2022,10,19,22,24,12.04,0.0,2,3,16,20,0.001,0.117,1,2022-10-19T22:24:12.040Z
nc73865815_20221104_231949,102792,40.436768,-124.606201,23.241,-31704.7,-12599.7,1813.5,0.6,0.8,0.9,2022,11,4,23,19,49.48,0.0,6,2,38,10,0.006,0.078,1,2022-11-04T23:19:49.480Z
1016534_20211221_114042,102871,40.520976,-124.428662,23.764,-16643.3,-3248.8,2336.5,4.1,4.1,3.6,2021,12,21,11,40,42.53,0.0,0,0,11,12,-9.0,0.06,1,2021-12-21T11:40:42.530Z
1016534_20211227_052817,102873,40.518306,-124.41731,22.954,-15681.8,-3545.2,1526.5,0.4,0.5,0.6,2021,12,27,5,28,17.56,0.0,2,1,28,12,0.001,0.07,1,2021-12-27T05:28:17.560Z
1016534_20221112_093909,102877,40.519454,-124.418237,23.978,-15760.2,-3417.8,2550.3,0.4,0.4,0.4,2022,11,12,9,39,9.18,0.0,3,1,28,29,0.0,0.057,1,2022-11-12T09:39:09.180Z
1010577_20200605_071717,102881,40.5736,-123.886938,22.448,29241.7,2594.9,1020.8,0.9,0.9,0.5,2020,6,5,7,17,17.47,0.0,0,4,0,5,0.005,0.029,1,2020-06-05T07:17:17.470Z
1010577_20210831_100155,102882,40.58691,-123.893294,22.084,28700.6,4072.9,656.6,0.4,0.8,0.6,2021,8,31,10,1,55.16,0.0,1,1,4,7,0.002,0.071,1,2021-08-31T10:01:55.160Z
1010577_20220708_141425,102884,40.575887,-123.890348,23.407,28952.4,2848.9,1979.7,0.6,0.7,0.6,2022,7,8,14,14,25.81,0.0,2,1,3,2,0.005,0.13,1,2022-07-08T14:14:25.810Z
1010577_20221015_063445,102885,40.575594,-123.882707,22.437,29599.7,2816.3,1009.7,0.9,1.0,0.7,2022,10,15,6,34,44.89,0.0,3,0,6,2,0.004,0.044,1,2022-10-15T06:34:44.890Z
nc73842546_20200108_052650,102906,40.551184,-124.494653,23.85,-22229.3,105.7,2422.5,0.5,0.5,0.9,2020,1,8,5,26,50.05,0.0,0,4,0,2,0.009,0.013,1,2020-01-08T05:26:50.050Z
nc73842546_20201011_205402,102908,40.549544,-124.499715,23.923,-22658.3,-76.4,2496.2,0.7,0.6,0.7,2020,10,11,20,54,2.32,0.0,0,4,0,4,0.007,0.009,1,2020-10-11T20:54:02.320Z
nc73842546_20210428_193347,102909,40.542704,-124.506925,26.667,-23270.2,-835.9,5239.6,1.8,1.6,2.9,2021,4,28,19,33,47.48,0.0,0,0,0,4,-9.0,0.014,1,2021-04-28T19:33:47.480Z
nc73842546_20210612_075757,102910,40.549398,-124.496118,23.83,-22353.6,-92.6,2403.0,0.5,0.4,0.4,2021,6,12,7,57,57.7,0.0,0,4,0,3,0.001,0.009,1,2021-06-12T07:57:57.700Z
