event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1010496_20180101_041626,100003,40.51311,-124.342375,18.597,-13088.7,-5381.5,-2130.0,1.3,1.3,1.6,2018,1,1,4,16,26.53,0.0,115,77,98,58,0.011,0.019,1,2018-01-01T04:16:26.530Z
1010496_20180101_041317,100004,40.513517,-124.342041,18.495,-13060.4,-5336.3,-2231.4,4.1,3.5,6.1,2018,1,1,4,13,17.6,0.0,94,77,61,54,0.012,0.017,1,2018-01-01T04:13:17.600Z
1010496_20180101_041002,100005,40.512386,-124.33999,18.985,-12886.7,-5461.9,-1742.1,2.6,2.8,3.2,2018,1,1,4,10,2.36,0.0,68,56,48,32,0.011,0.011,1,2018-01-01T04:10:02.360Z
1010496_20180102_084440,100006,40.513155,-124.342204,18.582,-13074.2,-5376.5,-2144.5,1.5,1.5,2.0,2018,1,2,8,44,40.9,0.0,115,77,136,89,0.011,0.02,1,2018-01-02T08:44:40.900Z
1010496_20180102_092139,100007,40.513277,-124.342407,18.578,-13091.4,-5363.0,-2149.3,2.1,1.9,3.6,2018,1,2,9,21,39.25,0.0,115,80,85,52,0.011,0.018,1,2018-01-02T09:21:39.250Z
1010496_20180102_073205,100008,40.513078,-124.339982,18.677,-12886.0,-5385.1,-2050.1,3.4,2.9,3.5,2018,1,2,7,32,5.64,0.0,97,77,96,80,0.01,0.018,1,2018-01-02T07:32:05.640Z
1010496_20180102_073119,100009,40.514111,-124.340503,18.908,-12930.0,-5270.3,-1819.3,3.6,3.4,2.9,2018,1,2,7,31,19.67,0.0,76,56,52,35,0.011,0.011,1,2018-01-02T07:31:19.670Z
1010496_20180115_211315,100012,40.512231,-124.341203,18.942,-12989.5,-5479.1,-1784.7,3.9,3.4,6.0,2018,1,15,21,13,15.68,0.0,115,86,151,102,0.013,0.02,1,2018-01-15T21:13:15.680Z
1010496_20180117_121911,100013,40.513086,-124.341007,18.818,-12972.9,-5384.2,-1908.7,3.0,3.0,3.2,2018,1,17,12,19,11.37,0.0,117,91,124,95,0.011,0.015,1,2018-01-17T12:19:11.370Z
1010496_20180205_103759,100015,40.512459,-124.34091,18.972,-12964.6,-5453.8,-1754.9,3.4,2.7,5.7,2018,2,5,10,37,59.86,0.0,115,88,84,65,0.014,0.024,1,2018-02-05T10:37:59.860Z
1010496_20180205_174754,100016,40.512313,-124.34209,18.716,-13064.6,-5470.0,-2010.4,3.2,3.0,3.8,2018,2,5,17,47,54.56,0.0,76,65,46,36,0.011,0.013,1,2018-02-05T17:47:54.560Z
1010496_20180303_033959,100017,40.515686,-124.329582,21.524,-12004.6,-5095.5,797.5,4.4,4.3,4.4,2018,3,3,3,39,59.51,0.0,0,34,0,32,0.011,0.052,1,2018-03-03T03:39:59.510Z
1010496_20180517_085919,100019,40.513184,-124.340422,18.97,-12923.2,-5373.3,-1756.9,2.3,2.3,1.9,2018,5,17,8,59,19.21,0.0,115,75,86,44,0.009,0.015,1,2018-05-17T08:59:19.210Z
1010496_20180517_041351,100020,40.512451,-124.340625,18.855,-12940.5,-5454.7,-1872.0,3.3,3.3,3.0,2018,5,17,4,13,51.22,0.0,115,69,117,61,0.01,0.014,1,2018-05-17T04:13:51.220Z
1010496_20180517_041306,100021,40.512016,-124.341602,18.914,-13023.3,-5503.0,-1813.3,2.8,2.9,2.7,2018,5,17,4,13,6.13,0.0,98,66,64,41,0.01,0.013,1,2018-05-17T04:13:06.130Z
1010496_20180517_231203,100022,40.513501,-124.34104,18.898,-12975.6,-5338.1,-1829.2,2.2,1.8,2.2,2018,5,17,23,12,3.64,0.0,98,56,103,53,0.008,0.011,1,2018-05-17T23:12:03.640Z
1010496_20180517_091359,100023,40.513753,-124.340649,18.952,-12942.5,-5310.1,-1774.5,3.0,3.8,3.4,2018,5,17,9,13,59.54,0.0,98,29,97,24,0.008,0.009,1,2018-05-17T09:13:59.540Z
1010496_20180810_061546,100027,40.5165,-124.34755,19.519,-13526.8,-5005.1,-1207.7,2.4,3.8,6.4,2018,8,10,6,15,46.2,0.0,79,0,60,0,0.01,0.008,1,2018-08-10T06:15:46.200Z
1010496_20180901_112118,100028,40.51355,-124.340356,18.824,-12917.7,-5332.7,-1903.2,2.3,1.7,2.2,2018,9,1,11,21,18.73,0.0,87,78,92,88,0.011,0.018,1,2018-09-01T11:21:18.730Z
1010496_20200421_112154,100029,40.513062,-124.340641,18.814,-12941.8,-5386.9,-1912.5,4.7,5.3,4.7,2020,4,21,11,21,54.27,0.0,92,29,91,24,0.008,0.009,1,2020-04-21T11:21:54.270Z
1010496_20200619_053029,100030,40.513037,-124.339062,19.009,-12808.1,-5389.6,-1718.0,3.6,3.9,3.4,2020,6,19,5,30,30.1,0.0,90,81,109,80,0.013,0.021,1,2020-06-19T05:30:30.100Z
1010496_20210312_013038,100031,40.513167,-124.338745,19.122,-12781.2,-5375.2,-1605.0,5.6,3.4,6.6,2021,3,12,1,30,38.69,0.0,73,64,73,60,0.013,0.017,1,2021-03-12T01:30:38.690Z
1010496_20210614_223504,100032,40.51311,-124.343416,18.77,-13176.9,-5381.5,-1957.1,4.3,4.0,5.4,2021,6,14,22,35,4.56,0.0,117,72,146,84,0.011,0.022,1,2021-06-14T22:35:04.560Z
1010496_20210614_213602,100033,40.511808,-124.330062,20.285,-12045.6,-5526.1,-442.2,5.2,3.8,6.5,2021,6,14,21,36,2.38,0.0,26,60,10,20,0.011,0.026,1,2021-06-14T21:36:02.380Z
1010496_20210614_214445,100034,40.512044,-124.33265,19.944,-12264.9,-5499.9,-782.5,2.0,2.2,1.7,2021,6,14,21,44,46.08,0.0,26,61,10,25,0.011,0.029,1,2021-06-14T21:44:46.080Z
1010496_20210615_094420,100035,40.512813,-124.342887,18.734,-13132.1,-5414.5,-1993.4,3.6,3.0,5.3,2021,6,15,9,44,20.76,0.0,115,90,104,73,0.012,0.024,1,2021-06-15T09:44:20.760Z
1010496_20210615_085306,100036,40.513159,-124.343636,18.696,-13195.5,-5376.1,-2031.1,3.9,3.6,4.5,2021,6,15,8,53,6.28,0.0,97,60,97,59,0.009,0.019,1,2021-06-15T08:53:06.280Z
1010496_20210615_093002,100037,40.513151,-124.340845,18.844,-12959.1,-5377.0,-1882.7,2.6,2.4,3.2,2021,6,15,9,30,2.3,0.0,114,64,77,40,0.013,0.01,1,2021-06-15T09:30:02.300Z
1010496_20210615_091505,100038,40.513017,-124.342448,18.666,-13094.9,-5391.9,-2061.3,2.8,2.4,3.2,2021,6,15,9,15,5.65,0.0,70,54,42,30,0.009,0.009,1,2021-06-15T09:15:05.650Z
1010496_20211211_042038,100039,40.51335,-124.343197,18.517,-13158.3,-5354.8,-2209.9,3.3,2.4,5.1,2021,12,11,4,20,38.87,0.0,77,62,75,59,0.012,0.01,1,2021-12-11T04:20:38.870Z
