event_id,station,phase,travel_time,weight
101361,NCBJC,P,14.98,0.1
101361,NCBJO,P,14.65,0.1
101361,NCBPC,P,14.32,0.1
101361,NCBSM,P,17.79,0.1
101361,NCBSR,P,12.6,0.5
101361,NCBSR,S,21.62,0.1
101361,NCBVY,P,12.23,0.1
101361,NCCAD,P,3.47,1.0
101361,NCCAI,P,16.1,0.2
101361,NCCAL,P,4.28,1.0
101361,NCCAL,S,7.74,0.5
101361,NCCAO,P,2.75,1.0
101361,NCCAO,S,4.91,1.0
101361,NCCCO,P,1.45,-1.0
101361,NCCCY,P,8.59,0.2
101361,NCCDV,P,5.99,1.0
101361,NCCDV,S,10.57,0.2
101361,NCCLC,P,11.43,0.2
101361,NCCMH,P,2.65,1.0
101361,NCCMJ,P,6.11,1.0
101361,NCCML,P,4.33,1.0
101361,NCCMM,P,4.78,1.0
101361,NCCMN,P,7.33,0.5
101361,NCCMP,P,6.0,1.0
101361,NCCMR,P,6.51,1.0
101361,NCCOS,P,6.56,0.1
101361,NCCPL,P,8.53,0.2
101361,NCCSC,P,2.64,1.0
101361,NCCST,P,8.27,1.0
101361,NCCVA,P,7.29,1.0
101361,NCCVL,P,7.83,0.1
101361,NCHAZ,P,8.82,0.1
101361,NCHCB,P,7.76,0.2
101361,NCHCO,P,8.76,0.5
101361,NCHCP,P,8.09,1.0
101361,NCHDL,P,9.47,1.0
101361,NCHFE,P,7.62,0.1
101361,NCHFH,P,9.08,0.5
101361,NCHFP,P,11.44,0.1
101361,NCHGS,P,5.53,1.0
101361,NCHGW,P,5.89,1.0
101361,NCHMO,P,13.9,0.1
101361,NCHOR,P,8.32,0.2
101361,NCHPL,P,7.8,0.5
101361,NCHPR,P,7.43,1.0
101361,NCHSF,P,10.89,0.1
101361,NCHSP,P,4.77,1.0
101361,NCJAL,P,4.48,1.0
101361,NCJBC,P,6.91,1.0
101361,NCJBG,P,10.91,0.1
101361,NCJBL,P,8.71,0.1
101361,NCJBM,P,8.1,1.0
101361,NCJBZ,P,6.75,0.5
101361,NCJCB,P,4.24,1.0
101361,NCJEC,P,5.86,1.0
101361,NCJEG,P,13.34,0.2
101361,NCJLT,P,8.8,0.2
101361,NCJLX,P,5.8,1.0
101361,NCJMG,P,13.99,0.1
101361,NCJPL,P,7.45,0.1
101361,NCJPP,P,9.19,1.0
101361,NCJRG,P,7.43,0.5
101361,NCJRR,P,5.31,1.0
101361,NCJSA,P,13.2,0.1
101361,NCJSC,P,7.69,0.5
101361,NCJSF,P,8.69,0.2
