event_id,origin_time,latitude,longitude,depth,magnitude,eh,ez,rms
101361,1987-06-03 06:56:07.740000+00:00,37.2893,-121.6702,4.08,1.92,0.09,0.3,0.05
101362,1987-06-03 06:58:51.320000+00:00,37.2887,-121.6702,3.79,1.74,0.1,0.34,0.04
101659,1987-06-09 02:02:39.460000+00:00,37.287,-121.6657,6.05,2.37,0.09,0.21,0.03
103138,1987-07-14 19:02:57.020000+00:00,37.289,-121.6695,3.6,1.72,0.13,0.34,0.04
114006,1988-03-16 23:10:06.630000+00:00,37.2852,-121.664,6.2,2.45,0.09,0.23,0.04
126189,1988-11-02 03:09:12.610000+00:00,37.2893,-121.6705,3.87,1.93,0.1,0.26,0.05
126292,1988-11-03 01:30:04.280000+00:00,37.2888,-121.6697,3.64,1.71,0.13,0.31,0.03
126389,1988-11-04 13:34:34.720000+00:00,37.2882,-121.6703,4.06,1.87,0.1,0.3,0.05
148939,1989-12-13 05:33:46.080000+00:00,37.2875,-121.6682,3.81,1.6,0.15,0.51,0.06
154124,1990-03-11 11:52:34.830000+00:00,37.2882,-121.666,6.04,2.34,0.1,0.24,0.04
160503,1990-07-05 20:04:42.810000+00:00,37.2902,-121.6693,3.72,1.71,0.13,0.38,0.04
17272,1984-05-02 07:34:17.770000+00:00,37.29,-121.6662,5.72,1.65,0.12,0.39,0.03
17526,1984-05-05 03:31:54.930000+00:00,37.2872,-121.6658,5.65,2.45,0.11,0.26,0.04
17842,1984-04-25 04:35:19.170000+00:00,37.2883,-121.6688,3.73,1.9,0.1,0.29,0.04
215747,1991-05-29 09:45:22.620000+00:00,37.2885,-121.67,3.82,1.83,0.11,0.3,0.04
23190,1984-07-17 16:24:49.440000+00:00,37.29,-121.6703,3.62,1.85,0.11,0.29,0.04
23195,1984-07-17 17:53:04.190000+00:00,37.2873,-121.6647,5.57,2.33,0.1,0.22,0.04
238704,1991-12-03 05:24:24.980000+00:00,37.2898,-121.6705,3.64,2.01,0.12,0.29,0.04
238790,1991-12-04 00:08:49.550000+00:00,37.2892,-121.6698,3.77,1.89,0.12,0.28,0.04
27683,1984-09-10 16:24:47.130000+00:00,37.2838,-121.6635,5.54,2.39,0.11,0.2,0.07
27722,1984-09-11 09:29:23.690000+00:00,37.2877,-121.6653,5.78,1.78,0.15,0.3,0.03
30057908,1994-09-17 17:57:01.530000+00:00,37.2853,-121.6635,6.21,2.38,0.08,0.2,0.03
30058785,1994-09-25 23:04:28.010000+00:00,37.2855,-121.6637,6.13,2.36,0.08,0.21,0.03
30062741,1994-11-16 16:50:58.150000+00:00,37.2898,-121.6702,3.58,2.01,0.12,0.32,0.03
30069222,1995-03-03 12:30:15.850000+00:00,37.2885,-121.6695,3.82,1.75,0.1,0.26,0.04
30092060,1995-12-15 18:53:39.810000+00:00,37.289,-121.6693,3.71,1.82,0.14,0.42,0.04
32049,1984-11-18 00:28:55.240000+00:00,37.289,-121.6703,3.42,1.69,0.15,0.39,0.04
35929,1984-12-01 08:09:13.540000+00:00,37.2875,-121.6657,5.75,1.74,0.11,0.28,0.03
389286,1993-12-20 22:35:07.790000+00:00,37.2892,-121.669,3.48,1.77,0.12,0.29,0.03
42555,1985-03-02 06:53:56.010000+00:00,37.2887,-121.6688,3.67,1.74,0.15,0.4,0.04
42559,1985-03-02 08:55:03.470000+00:00,37.2898,-121.6702,3.58,1.91,0.11,0.35,0.04
42643,1985-03-02 08:55:29.590000+00:00,37.2892,-121.669,3.51,2.08,0.14,0.41,0.03
44335,1985-03-20 04:57:39.190000+00:00,37.2847,-121.6633,5.89,2.56,0.11,0.28,0.04
478138,1996-09-02 20:27:00.360000+00:00,37.2907,-121.6703,4.06,1.99,0.1,0.36,0.05
483500,1996-11-02 12:22:52.340000+00:00,37.2883,-121.666,6.35,2.29,0.09,0.29,0.05
529274,1997-10-28 12:01:44.750000+00:00,37.2893,-121.6692,3.68,1.61,0.12,0.29,0.05
54084,1985-08-28 20:35:10.100000+00:00,37.2892,-121.6702,3.53,1.58,0.17,0.45,0.03
62514,1985-12-31 15:50:52.230000+00:00,37.2888,-121.6695,3.4,1.74,0.11,0.25,0.05
62520,1985-12-31 18:03:03.480000+00:00,37.2895,-121.6707,3.32,1.62,0.13,0.52,0.05
77218,1986-07-25 09:22:50.290000+00:00,37.2893,-121.6712,3.86,2.26,0.11,0.34,0.05
