ev1,ev2,station,phase,dt_sec,weight
101361,101362,NCCSC,P,-0.018215000000000002,0.841
101361,101362,NCCADa,P,0.004161999999999999,0.843
101361,101362,NCJCB,P,0.0003549999999999994,0.875
101361,101362,NCCML,P,-0.027674,0.949
101361,101362,NCCAL,P,-0.03019,0.736
101361,101362,NCCMM,P,-0.017367,0.723
101361,101362,NCJRR,P,0.001327,0.883
101361,101362,NCHGS,P,0.005735999999999998,0.852
101361,101362,NCJEC,P,0.001063999999999999,0.895
101361,101362,NCHGW,P,0.005417999999999999,0.932
101361,101362,NCCDV,P,-0.029059,0.95
101361,101362,NCCMJ,P,-0.031162,0.86
101361,101362,NCCMP,P,-0.006165,0.738
101361,101362,NCJBZ,P,-0.0002870000000000008,0.935
101361,101362,NCCMR,P,-0.028218,0.938
101361,101362,NCJBC,P,-0.015612000000000001,0.714
101361,101362,NCHPR,P,0.0025249999999999995,0.811
101361,101362,NCCVA,P,-0.031286,0.918
101361,101362,NCCMN,P,-0.03161,0.922
101361,101362,NCHCB,P,-0.0018609999999999998,0.789
101361,101362,NCJSC,P,-0.022415,0.818
101361,101362,NCHFE,P,0.0042099999999999985,0.77
101361,101362,NCCST,P,-0.021434,0.95
101361,101362,NCHPL,P,0.0037389999999999993,0.875
101361,101362,NCJBM,P,-0.02244,0.885
101361,101362,NCHOR,P,0.0037209999999999986,0.715
101361,101362,NCHCP,P,-0.000281,0.924
101361,101362,NCHCOb,P,0.0017000000000000001,0.713
101361,101362,NCHAZ,P,0.0011599999999999996,0.831
101361,101362,NCCCY,P,-0.030672,0.789
101361,101362,NCJBLb,P,-0.019097,0.812
101361,101362,NCHFH,P,0.003613,0.725
101361,101362,NCJPPa,P,-0.021071,0.918
101361,101362,NCHDLb,P,0.0011509999999999992,0.922
101361,101362,NCHSFb,P,0.0064659999999999995,0.83
101361,101362,NCCMO,P,-0.029132,0.75
101361,101362,NCJBG,P,-0.022959,0.774
101361,101362,NCCLC,P,-0.025008000000000002,0.722
101361,101362,NCHFP,P,0.0013069999999999991,0.763
101361,101362,NCBVY,P,0.002057999999999999,0.873
101361,101362,NCCAO,S,-0.009183,0.8
101361,101362,NCCADa,S,0.021334000000000002,0.83
101361,101362,NCJST,S,-0.008029000000000001,0.83
101361,101362,NCJCB,S,0.011782,0.83
101361,101362,NCCML,S,-0.040736999999999995,0.93
101361,101362,NCCAL,S,-0.044599,0.76
101361,101362,NCJAL,S,-0.006423,0.84
101361,101362,NCHSP,S,0.018359,0.72
101361,101362,NCCMM,S,-0.024288,0.87
