station,latitude,longitude,elevation
NCALN,38.9291,-121.287,0.0
NCBAP,36.1804,-121.644,0.0
NCBAV,36.646,-121.03,0.0
NCBBG,36.578,-121.039,0.0
NCBBN,36.5095,-121.077,0.0
NCBCG,36.7096,-121.343,0.0
NCBCW,36.3065,-121.567,0.0
NCBEH,36.6648,-121.175,0.0
NCBEM,36.6611,-121.097,0.0
NCBHR,36.7275,-121.267,0.0
NCBHS,36.3558,-121.54,0.0
NCBJC,36.5472,-121.394,0.0
NCBJO,36.611,-121.314,0.0
NCBLR,36.6664,-121.273,0.0
NCBMS,36.6631,-120.793,0.0
NCBPC,36.5734,-121.627,0.0
NCBPF,36.2303,-121.772,0.0
NCBPI,36.4901,-121.17,0.0
NCBPO,36.2284,-121.768,0.0
NCBPP,36.1687,-121.378,0.0
NCBPR,36.4071,-121.731,0.0
NCBRM,36.8451,-120.825,0.0
NCBRV,36.4247,-121.019,0.0
NCBSC,36.6417,-121.26,0.0
NCBSG,36.4138,-121.255,0.0
NCBSL,36.7765,-121.35,0.0
NCBSM,36.3837,-121.429,0.0
NCBSR,36.6674,-121.52,0.0
NCBVL,36.5749,-121.19,0.0
NCBVY,36.7462,-121.416,0.0
NCCAD,37.1638,-121.628,0.0
NCCAI,37.8613,-122.43,0.0
NCCAL,37.4505,-121.8,0.0
NCCAO,37.3485,-121.535,0.0
NCCBR,37.8165,-122.063,0.0
NCCBS,37.8178,-121.641,0.0
NCCBW,37.9241,-122.108,0.0
NCCCO,37.2582,-121.675,0.0
NCCCY,37.5515,-122.091,0.0
NCCDA,37.7304,-121.73,0.0
NCCDO,37.7301,-121.836,0.0
NCCDV,37.5665,-121.679,0.0
NCCGP,37.6454,-122.011,0.0
NCCLC,37.7381,-122.065,0.0
NCCMC,37.7812,-122.177,0.0
NCCMH,37.3591,-121.758,0.0
NCCMJ,37.5202,-121.873,0.0
NCCML,37.4775,-121.653,0.0
NCCMM,37.4557,-121.494,0.0
NCCMN,37.6279,-121.707,0.0
NCCMO,37.811,-121.804,0.0
NCCMP,37.3577,-121.318,0.0
NCCMR,37.595,-121.638,0.0
NCCNI,37.6079,-121.965,0.0
NCCOS,37.508,-121.375,0.0
NCCPI,37.9889,-122.216,0.0
NCCPL,37.6375,-121.961,0.0
NCCPM,37.9491,-122.409,0.0
NCCRA,37.7672,-121.938,0.0
NCCRP,37.9127,-121.906,0.0
NCCSA,37.6724,-121.703,0.0
NCCSC,37.2852,-121.772,0.0
NCCSH,37.648,-122.043,0.0
NCCSL,37.7242,-122.119,0.0
NCCSP,37.9571,-122.311,0.0
NCCST,37.6392,-121.498,0.0
NCCSV,37.8653,-122.006,0.0
NCCVA,37.6182,-121.76,0.0
NCCVL,37.6236,-121.836,0.0
NCCVP,37.884,-122.223,0.0
NCCYB,37.8079,-122.362,0.0
NCGPM,38.845,-122.946,0.0
NCGRT,38.9387,-122.671,0.0
NCGSG,38.8663,-122.709,0.0
NCHAZ,36.8845,-121.592,0.0
NCHBT,36.8502,-121.552,0.0
NCHCA,37.0254,-121.485,0.0
NCHCB,36.9313,-121.66,0.0
NCHCO,36.8875,-121.709,0.0
NCHCP,37.1945,-121.185,0.0
NCHCR,36.9566,-121.584,0.0
NCHDL,36.8353,-121.647,0.0
NCHER,36.7982,-121.712,0.0
NCHFE,36.9829,-121.403,0.0
NCHFH,36.8882,-121.469,0.0
NCHFP,36.7535,-121.492,0.0
NCHGS,37.0955,-121.448,0.0
NCHGW,37.017,-121.653,0.0
NCHJG,36.7983,-121.575,0.0
NCHJS,36.8171,-121.299,0.0
NCHKR,36.9017,-121.426,0.0
NCHLT,36.8846,-121.309,0.0
NCHMO,36.6003,-121.918,0.0
NCHOR,36.9189,-121.515,0.0
NCHPC,37.0599,-121.276,0.0
NCHPH,36.8561,-121.406,0.0
NCHPL,37.052,-121.291,0.0
NCHPR,36.9532,-121.695,0.0
NCHQR,36.8337,-121.213,0.0
NCHSF,36.8168,-121.498,0.0
NCHSL,37.0192,-121.086,0.0
NCHSP,37.115,-121.517,0.0
NCJAL,37.1578,-121.848,0.0
NCJBC,37.1648,-122.03,0.0
NCJBG,37.343,-122.34,0.0
NCJBL,37.1278,-122.166,0.0
NCJBM,37.317,-122.154,0.0
NCJBN,37.1232,-122.157,0.0
NCJBZ,37.0181,-121.82,0.0
NCJCB,37.1115,-121.69,0.0
NCJCH,37.517,-122.377,0.0
NCJCP,37.5883,-122.323,0.0
NCJEC,37.0505,-121.81,0.0
NCJEG,37.5138,-122.463,0.0
NCJEL,36.9274,-121.828,0.0
NCJHL,37.1091,-121.835,0.0
NCJHP,37.4441,-122.304,0.0
NCJJR,37.3445,-122.203,0.0
NCJLA,37.1543,-121.734,0.0
NCJLT,37.3537,-122.204,0.0
NCJLX,37.2019,-121.987,0.0
NCJMG,37.6375,-122.476,0.0
NCJNA,37.176998,-121.844666,0.0
NCJPL,36.9775,-121.834,0.0
NCJPP,37.2626,-122.214,0.0
NCJPR,37.795,-122.475,0.0
NCJPS,37.1984,-122.348,0.0
NCJQB,37.3223,-122.111,0.0
NCJQS,37.3187,-122.11,0.0
NCJQW,37.3233,-122.116,0.0
NCJRG,37.0378,-121.966,0.0
NCJRR,37.0543,-121.728,0.0
NCJSA,37.5822,-122.42,0.0
NCJSB,37.6743,-122.399,0.0
NCJSC,37.2843,-122.124,0.0
NCJSF,37.4046,-122.174,0.0
NCJSG,37.2832,-122.051,0.0
NCJSJ,37.3338,-122.092,0.0
NCJSM,37.2123,-122.169,0.0
NCJSP,37.5864,-122.502,0.0
NCJSS,37.1695,-121.932,0.0
NCJST,37.2068,-121.797,0.0
NCJTG,37.0285,-121.878,0.0
NCJTR,37.3522,-122.198,0.0
NCJUC,37.001,-122.049,0.0
NCJUM,37.1607,-121.899,0.0
NCMBO,37.6892,-120.364,0.0
NCMCU,37.9732,-120.619,0.0
NCMHD,37.1171,-119.895,0.0
NCMLR,38.0907,-120.164,0.0
NCMMI,37.4196,-119.744,0.0
NCMNH,38.1457,-120.815,0.0
NCMNP,37.4148,-119.728,0.0
NCMOY,37.8996,-120.569,0.0
