original_id,synthetic_id
1008267_20130101_103317,100000
1008267_20130201_122537,100001
1008267_20130215_112700,100002
1008267_20130309_060804,100003
1008267_20130507_113222,100004
1008267_20130513_022931,100005
1008267_20130602_024943,100006
1008267_20130707_042413,100007
1008267_20131010_212246,100008
1008267_20131125_092149,100009
1008267_20140117_114729,100010
1008267_20140206_221504,100011
1008267_20140306_031138,100012
1008267_20140419_084835,100013
1008267_20140423_213754,100014
1008267_20140425_205241,100015
1008267_20140425_083825,100016
1008267_20140625_142451,100017
1008267_20140828_084102,100018
1008267_20140922_093900,100019
1008267_20141010_094112,100020
1008267_20141214_124329,100021
1008267_20150110_214509,100022
1008267_20150322_120444,100023
1008267_20150808_105000,100024
1008267_20150915_131351,100025
1008267_20151008_144404,100026
1008267_20151111_080608,100027
1008267_20151203_024655,100028
1008267_20151220_102840,100029
1008267_20160118_111208,100030
1008267_20160526_094758,100031
1008267_20160919_065751,100032
1008267_20161212_001818,100033
1008267_20170104_130104,100034
1008267_20170222_084302,100035
1008267_20170326_110126,100036
1008267_20170326_110130,100037
1008267_20170327_074517,100038
1008267_20170714_171504,100039
1008267_20170806_213218,100040
1008267_20170808_000918,100041
1008267_20170822_212511,100042
1008267_20170827_175539,100043
1008267_20180414_023629,100044
1008267_20180921_103928,100045
1008267_20180921_104100,100046
1008267_20190822_033516,100047
1008267_20190913_120635,100048
1008267_20191015_003535,100049
1008267_20200308_090851,100050
1008267_20200420_003127,100051
1008267_20200716_164853,100052
1008267_20210521_042741,100053
1008267_20211005_101511,100054
1008267_20220117_023349,100055
1008267_20220324_015540,100056
1008267_20220331_155104,100057
1008267_20220625_155811,100058
1011679_20130101_235810,100059
1011679_20130724_051725,100060
1011679_20130818_172949,100061
1011679_20131220_051944,100062
1011679_20131222_041415,100063
1011679_20131223_050616,100064
1011679_20131228_193230,100065
1011679_20140716_164821,100066
1011679_20140727_045113,100067
1011679_20140801_065215,100068
1011679_20140925_122843,100069
1011679_20150607_180940,100070
1011679_20150613_034243,100071
1011679_20150628_013119,100072
1011679_20150702_191923,100073
1011679_20150705_102358,100074
1011679_20150718_194248,100075
1011679_20150809_170020,100076
1011679_20151101_013049,100077
1011679_20151224_235156,100078
1011679_20160509_221845,100079
1011679_20160919_114903,100080
1011679_20161008_172422,100081
1011679_20161009_030216,100082
1011679_20161030_193907,100083
1011679_20170101_084939,100084
1011679_20170214_182927,100085
1011679_20170601_121756,100086
1011679_20170614_063812,100087
1011679_20170924_012511,100088
1011679_20171030_061409,100089
1011679_20171205_124140,100090
1011679_20171221_073439,100091
1011679_20180103_033718,100092
1011679_20180130_062704,100093
1011679_20180205_172515,100094
1011679_20180205_065959,100095
1011679_20180205_083414,100096
1011679_20180205_065759,100097
1011679_20180205_061521,100098
1011679_20180205_062011,100099
1011679_20180205_062647,100100
1011679_20180205_115541,100101
1011679_20180205_105805,100102
1011679_20180216_054908,100103
1011679_20180302_050513,100104
1011679_20180306_164213,100105
1011679_20180907_153845,100106
1011679_20180909_023143,100107
1011679_20180928_184840,100108
1011679_20180929_110834,100109
1011679_20181108_050805,100110
1011679_20190409_222341,100111
1011679_20190916_210449,100112
1011679_20200503_034840,100113
1011679_20200604_095931,100114
1011679_20200608_053734,100115
1011679_20200831_230452,100116
1011679_20201218_230553,100117
1011679_20210117_015018,100118
1011679_20210709_064756,100119
1011679_20210919_094233,100120
1011679_20220107_190259,100121
1011679_20220207_023726,100122
1011679_20220928_155633,100123
